2025-08-09 15:27:26,667 [modloading-worker-0] WARN treasure2 | TreasureLootTableRegistry.java:173 | unable to locate file in jar -> data/treasure2/loot_tables/injects
2025-08-09 15:27:43,182 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:leaf_lock by rarity -> UNCOMMON
2025-08-09 15:27:43,182 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:sapphire_lock by rarity -> EPIC
2025-08-09 15:27:43,182 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:diamond_lock by rarity -> RARE
2025-08-09 15:27:43,182 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:ember_lock by rarity -> SCARCE
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:gold_lock by rarity -> SCARCE
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:wood_lock by rarity -> COMMON
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:iron_lock by rarity -> UNCOMMON
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:topaz_lock by rarity -> SCARCE
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:barrel_chest by rarity -> UNCOMMON
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:viking_chest by rarity -> UNCOMMON
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:pirate_chest by rarity -> SCARCE
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:safe by rarity -> RARE
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:cauldron_chest by rarity -> CAULDRON
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:crate_chest by rarity -> UNCOMMON
2025-08-09 15:27:43,183 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:crate_chest_moldy by rarity -> COMMON
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:dread_pirate_chest by rarity -> EPIC
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:spider_chest by rarity -> RARE
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:ironbound_chest by rarity -> UNCOMMON
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:skull_chest by rarity -> SKULL
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:milk_crate by rarity -> COMMON
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:vanilla_chest by rarity -> COMMON
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:gold_skull_chest by rarity -> GOLD_SKULL
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:gold_strongbox by rarity -> RARE
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:iron_strongbox by rarity -> SCARCE
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:crystal_skull_chest by rarity -> CRYSTAL_SKULL
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:wood_chest by rarity -> COMMON
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:wither_chest by rarity -> WITHER
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:compressor_chest by rarity -> EPIC
2025-08-09 15:27:43,184 [main] INFO treasure2 | TreasureTags.java:184 | registering chest -> treasure2:cardboard_box by rarity -> COMMON
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> treasure2:onyx by rarity -> RARE
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> treasure2:ruby by rarity -> RARE
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> treasure2:white_pearl by rarity -> RARE
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> treasure2:sapphire by rarity -> EPIC
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> treasure2:black_pearl by rarity -> EPIC
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> treasure2:gold_coin by rarity -> SCARCE
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> treasure2:topaz by rarity -> SCARCE
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> minecraft:diamond by rarity -> SCARCE
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> minecraft:emerald by rarity -> SCARCE
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> treasure2:silver_coin by rarity -> UNCOMMON
2025-08-09 15:27:43,185 [main] INFO treasure2 | TreasureTags.java:201 | registering wishable -> treasure2:copper_coin by rarity -> COMMON
2025-08-09 15:27:43,872 [Server thread] INFO treasure2 | Config.java:760 | transforming mob set config...
2025-08-09 15:27:43,879 [Server thread] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:wishing_well_group', category='wishing_wells', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:zombie', weight=35}, WeightedMob{name='minecraft:zombie_villager', weight=10}, WeightedMob{name='minecraft:skeleton', weight=35}, WeightedMob{name='minecraft:vex', weight=20}, WeightedMob{name='minecraft:creeper', weight=15}, WeightedMob{name='minecraft:slime', weight=5}]}
2025-08-09 15:27:43,879 [Server thread] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:wither_tree_group', category='wither_trees', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:wither_skeleton', weight=90}, WeightedMob{name='minecraft:skeleton', weight=10}]}
2025-08-09 15:27:43,879 [Server thread] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:small_zombie_group', category='zombies', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:zombie', weight=90}, WeightedMob{name='minecraft:zombie_villager', weight=10}]}
2025-08-09 15:27:43,879 [Server thread] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:medium_zombie_group', category='zombies', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=2, max=5], mobs=[WeightedMob{name='minecraft:zombie', weight=90}, WeightedMob{name='minecraft:zombie_villager', weight=10}]}
2025-08-09 15:27:43,879 [Thread-4] INFO treasure2 | Config.java:760 | transforming mob set config...
2025-08-09 15:27:43,882 [Thread-4] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:wishing_well_group', category='wishing_wells', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:zombie', weight=35}, WeightedMob{name='minecraft:zombie_villager', weight=10}, WeightedMob{name='minecraft:skeleton', weight=35}, WeightedMob{name='minecraft:vex', weight=20}, WeightedMob{name='minecraft:creeper', weight=15}, WeightedMob{name='minecraft:slime', weight=5}]}
2025-08-09 15:27:43,882 [Thread-4] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:wither_tree_group', category='wither_trees', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:wither_skeleton', weight=90}, WeightedMob{name='minecraft:skeleton', weight=10}]}
2025-08-09 15:27:43,882 [Thread-4] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:small_zombie_group', category='zombies', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:zombie', weight=90}, WeightedMob{name='minecraft:zombie_villager', weight=10}]}
2025-08-09 15:27:43,882 [Thread-4] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:medium_zombie_group', category='zombies', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=2, max=5], mobs=[WeightedMob{name='minecraft:zombie', weight=90}, WeightedMob{name='minecraft:zombie_villager', weight=10}]}
2025-08-09 15:27:43,883 [Thread-4] INFO treasure2 | Config.java:760 | transforming mob set config...
2025-08-09 15:27:43,883 [Thread-4] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:wishing_well_group', category='wishing_wells', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:zombie', weight=35}, WeightedMob{name='minecraft:zombie_villager', weight=10}, WeightedMob{name='minecraft:skeleton', weight=35}, WeightedMob{name='minecraft:vex', weight=20}, WeightedMob{name='minecraft:creeper', weight=15}, WeightedMob{name='minecraft:slime', weight=5}]}
2025-08-09 15:27:43,883 [Thread-4] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:wither_tree_group', category='wither_trees', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:wither_skeleton', weight=90}, WeightedMob{name='minecraft:skeleton', weight=10}]}
2025-08-09 15:27:43,883 [Thread-4] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:small_zombie_group', category='zombies', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:zombie', weight=90}, WeightedMob{name='minecraft:zombie_villager', weight=10}]}
2025-08-09 15:27:43,883 [Thread-4] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:medium_zombie_group', category='zombies', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=2, max=5], mobs=[WeightedMob{name='minecraft:zombie', weight=90}, WeightedMob{name='minecraft:zombie_villager', weight=10}]}
2025-08-09 15:27:45,550 [Server thread] INFO treasure2 | WorldEventHandler.java:54 | In world load event
2025-08-09 15:27:45,551 [Server thread] INFO treasure2 | WorldEventHandler.java:64 | In world load event for dimension minecraft:overworld
2025-08-09 15:27:45,559 [Server thread] INFO treasure2 | MobSetRegistry.java:37 | mobSetConfig optional ...
2025-08-09 15:27:45,559 [Server thread] INFO treasure2 | MobSetRegistry.java:39 | mobSetConfig is present
2025-08-09 15:27:46,081 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:791 | biome -> 'minecraft:desert' is not registgered
2025-08-09 15:27:46,082 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:791 | biome -> 'minecraft:desert' is not registgered
2025-08-09 15:27:46,082 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:791 | biome -> 'minecraft:desert' is not registgered
2025-08-09 15:27:46,082 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:791 | biome -> 'minecraft:desert' is not registgered
2025-08-09 15:27:46,082 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:791 | biome -> 'minecraft:desert' is not registgered
2025-08-09 15:27:46,083 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:791 | biome -> 'minecraft:desert' is not registgered
2025-08-09 15:27:46,083 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:791 | biome -> 'minecraft:desert' is not registgered
2025-08-09 15:27:46,083 [Server thread] WARN treasure2 | TreasureTemplateRegistry.java:791 | biome -> 'minecraft:desert' is not registgered
2025-08-09 15:27:56,674 [Server thread] INFO treasure2 | WorldEventHandler.java:54 | In world load event
2025-08-09 15:27:56,675 [Server thread] INFO treasure2 | WorldEventHandler.java:64 | In world load event for dimension aether:the_aether
2025-08-09 15:27:56,820 [Server thread] INFO treasure2 | WorldEventHandler.java:54 | In world load event
2025-08-09 15:27:56,820 [Server thread] INFO treasure2 | WorldEventHandler.java:64 | In world load event for dimension minecraft:the_end
2025-08-09 15:27:56,927 [Server thread] INFO treasure2 | WorldEventHandler.java:54 | In world load event
2025-08-09 15:27:56,927 [Server thread] INFO treasure2 | WorldEventHandler.java:64 | In world load event for dimension minecraft:the_nether
2025-08-09 15:28:52,680 [Server thread] INFO treasure2 | AbstractTreasureChestBlock.java:162 | AbstractTreasureChestBlock | newBlockEntity | lockStates -> [LockState [slot=LockSlot [index=0, face=NORTH, xOffset=0.5, yOffset=0.3, zOffset=0.05, rotation=0.0], lockItem=null], LockState [slot=LockSlot [index=1, face=EAST, xOffset=0.95, yOffset=0.3, zOffset=0.5, rotation=90.0], lockItem=null], LockState [slot=LockSlot [index=2, face=WEST, xOffset=0.05, yOffset=0.3, zOffset=0.5, rotation=-90.0], lockItem=null]]
2025-08-09 15:28:52,681 [Server thread] INFO treasure2 | AbstractTreasureChestBlock.java:163 | AbstractTreasureChestBlock | newBlockEntity | tileEntity -> mod.gottsch.forge.treasure2.core.block.entity.PirateChestBlockEntity@561ec832 @ BlockPos{x=-14, y=44, z=-68}
2025-08-09 15:28:52,751 [Server thread] INFO treasure2 | PitChestFeatureGenerator.java:130 | CHEATER! SCARCE chest at coords: -14 76 -68
2025-08-09 15:28:52,755 [Server thread] INFO treasure2 | AbstractTreasureChestBlock.java:162 | AbstractTreasureChestBlock | newBlockEntity | lockStates -> [LockState [slot=LockSlot [index=0, face=NORTH, xOffset=0.5, yOffset=0.95, zOffset=0.3, rotation=0.0], lockItem=null], LockState [slot=LockSlot [index=1, face=NORTH, xOffset=0.5, yOffset=0.95, zOffset=0.7, rotation=0.0], lockItem=null]]
2025-08-09 15:28:52,755 [Server thread] INFO treasure2 | AbstractTreasureChestBlock.java:163 | AbstractTreasureChestBlock | newBlockEntity | tileEntity -> mod.gottsch.forge.treasure2.core.block.entity.CardboardBoxBlockEntity@6d8e36c0 @ BlockPos{x=-110, y=50, z=142}
2025-08-09 15:28:52,803 [Server thread] INFO treasure2 | PitChestFeatureGenerator.java:130 | CHEATER! COMMON chest at coords: -110 63 142
2025-08-09 15:33:04,459 [DH-PriorityTaskPicker Thread[1]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:33:13,049 [DH-PriorityTaskPicker Thread[0]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:33:13,310 [DH-PriorityTaskPicker Thread[0]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: -1078 74 -1072
2025-08-09 15:33:13,311 [DH-PriorityTaskPicker Thread[0]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:33:37,294 [DH-PriorityTaskPicker Thread[3]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 701 113 402
2025-08-09 15:33:37,530 [DH-PriorityTaskPicker Thread[1]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 696 106 330
2025-08-09 15:33:37,531 [DH-PriorityTaskPicker Thread[1]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:33:49,842 [DH-PriorityTaskPicker Thread[3]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 1045 69 -1067
2025-08-09 15:33:49,938 [DH-PriorityTaskPicker Thread[1]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 1045 86 -1134
2025-08-09 15:34:30,701 [DH-PriorityTaskPicker Thread[0]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: -410 84 621
2025-08-09 15:34:35,876 [DH-PriorityTaskPicker Thread[2]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:39:18,394 [DH-PriorityTaskPicker Thread[2]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 269 67 -620
2025-08-09 15:39:18,405 [DH-PriorityTaskPicker Thread[3]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 328 71 -618
2025-08-09 15:39:26,339 [DH-PriorityTaskPicker Thread[3]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: -440 64 -635
2025-08-09 15:39:26,340 [DH-PriorityTaskPicker Thread[3]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:39:26,485 [DH-PriorityTaskPicker Thread[2]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: -376 87 -630
2025-08-09 15:39:26,486 [DH-PriorityTaskPicker Thread[2]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:41:47,823 [DH-PriorityTaskPicker Thread[2]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: -507 71 -21
2025-08-09 15:42:38,489 [DH-PriorityTaskPicker Thread[3]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:43:29,740 [DH-PriorityTaskPicker Thread[3]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 522 64 1040
2025-08-09 15:43:29,740 [DH-PriorityTaskPicker Thread[3]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:44:07,368 [DH-PriorityTaskPicker Thread[1]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 1736 70 2052
2025-08-09 15:44:07,512 [DH-PriorityTaskPicker Thread[2]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 1799 70 2084
2025-08-09 15:44:12,227 [DH-PriorityTaskPicker Thread[1]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 1049 64 2063
2025-08-09 15:44:37,263 [DH-PriorityTaskPicker Thread[0]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 1315 66 648
2025-08-09 15:46:04,873 [DH-PriorityTaskPicker Thread[1]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:49:34,183 [DH-PriorityTaskPicker Thread[3]] WARN treasure2 | GeneratorUtil.java:193 | unable to create treasure chest's BlockEntity, removing chest.
2025-08-09 15:49:58,883 [DH-PriorityTaskPicker Thread[3]] INFO treasure2 | WellGenerator.java:198 | CHEATER! Wishing Well at coords: 2076 63 -1696
2025-08-09 15:53:31,115 [Server thread] WARN treasure2 | DeferredGeneratorBlockEntity.java:121 | unable to locate rarity config for rarity - >COMMON
2025-08-09 16:07:53,190 [Server thread] INFO treasure2 | Config.java:760 | transforming mob set config...
2025-08-09 16:07:53,197 [Server thread] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:wishing_well_group', category='wishing_wells', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:zombie', weight=35}, WeightedMob{name='minecraft:zombie_villager', weight=10}, WeightedMob{name='minecraft:skeleton', weight=35}, WeightedMob{name='minecraft:vex', weight=20}, WeightedMob{name='minecraft:creeper', weight=15}, WeightedMob{name='minecraft:slime', weight=5}]}
2025-08-09 16:07:53,198 [Server thread] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:wither_tree_group', category='wither_trees', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:wither_skeleton', weight=90}, WeightedMob{name='minecraft:skeleton', weight=10}]}
2025-08-09 16:07:53,198 [Server thread] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:small_zombie_group', category='zombies', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=1, max=3], mobs=[WeightedMob{name='minecraft:zombie', weight=90}, WeightedMob{name='minecraft:zombie_villager', weight=10}]}
2025-08-09 16:07:53,198 [Server thread] INFO treasure2 | Config.java:769 | adding mobset to map -> MobSet{name='treasure2:medium_zombie_group', category='zombies', biomeWhitelist=[], biomeBlacklist=[], count=IntegerRange [min=2, max=5], mobs=[WeightedMob{name='minecraft:zombie', weight=90}, WeightedMob{name='minecraft:zombie_villager', weight=10}]}
2025-08-09 16:08:47,057 [modloading-worker-0] WARN treasure2 | TreasureLootTableRegistry.java:173 | unable to locate file in jar -> data/treasure2/loot_tables/injects
2025-08-09 16:09:07,157 [main] INFO treasure2 | TreasureTags.java:135 | in tags updated event
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:stone_key by rarity -> COMMON
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:leaf_key by rarity -> UNCOMMON
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:gold_key by rarity -> SCARCE
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:diamond_key by rarity -> RARE
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:thiefs_lock_pick by rarity -> UNCOMMON
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:ember_key by rarity -> SCARCE
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:wood_key by rarity -> COMMON
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:metallurgists_key by rarity -> RARE
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:skeleton_key by rarity -> RARE
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:jewelled_key by rarity -> EPIC
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:ruby_key by rarity -> EPIC
2025-08-09 16:09:07,158 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:onyx_key by rarity -> SCARCE
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:emerald_key by rarity -> RARE
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:lightning_key by rarity -> SCARCE
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:topaz_key by rarity -> SCARCE
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:sapphire_key by rarity -> EPIC
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:pilferers_lock_pick by rarity -> COMMON
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:iron_key by rarity -> UNCOMMON
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:wither_key by rarity -> RARE
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:spider_key by rarity -> SCARCE
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:152 | registering key -> treasure2:one_key by rarity -> MYTHICAL
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:onyx_lock by rarity -> SCARCE
2025-08-09 16:09:07,159 [main] INFO treasure2 | TreasureTags.java:167 | registering lock -> treasure2:spider_lock by rarity -> SCARCE
